"Thursby, Emma"
"Valleria, Alwina"
"Bock, Anna"
"Fischer, Adolphe"
"Rietzel, Hermann"
"Sherwin, Amy"
"Jordan, Arthur"
"Bourne, F. G."
"Joseffy, Rafael"
"Pollack, Fanny"
"Dickerson, Jennie"
"Norman, Helen"
"Campanini, Italo"
"Buxton, T.B."
"Henschel, Georg"
"Schwarz, Max"
"Harvey, Raymond"
"Tower, W. C."
"Treumann, Max"
"Bailey, Lillian"
"Toedt, Theodore J."
"Dengremont, Mauricio"
"New York Chorus"
"Brooklyn Philharmonic Chorus"
"Schiller, Madeleine"
"Brandt, Hermann"
"Simms, Hattie Louise"
"King, A.L."
"Cole, Belle"
"Banner, Michael"
"Osgood, E. Aline"
"String Section, Entire"
"Little, Lena"
"Schell, Hattie"
"Wurmb, Amalia"
"Steins, Oscar"
"Heinrich, Max"
"Trinity Boys' Choir"
"St. Chrysostomus Chapel Boys' Choir"
"Schenck, Emil"
"Beebe, Henriette"
"Woodruff, A. D."
"Winch, John F."
"Albani, Emma"
"Rhodes, John F."
"Scalchi, Sofia"
"Huntington, Agnes B."
"Musin, Ovide"
"Dossert, Christine"
"Walker, Charlotte"
"Newark Harmonic Society"
"Baermann, Carl"
"Grant, E. J."
"Trebelli, Zelia"
"Thompson, C. H."
"Reinrich, Max"
"Henschel, Lillian June"
"Sacconi"
"Giese, Fritz"
"Pinney, Jessie"
"Hoose, Ellison Van"
"Stoeckert, Otto"
"Breitschuck, Herrmann"
"Stanley, W. H."
"Faelton, Carl"
"Scaria, Emil"
"Fursch-Madi, Emmy"
"Staudigl, Joseph"
"Schroeder-Hanfstaengel, Marie"
"Pyk, Louise"
"Brandt, Marianne"
"Bloomfield-Zeisler, Fannie"
"Materna, Amalia"
"Powell, Maud"
"Sylva, Eloi"
"Lehmann, Lilli"
"Mockridge, Whitney"
"Goldsticker, Carrie"
"Duke, Currie"
"Henson-Emerson, Medora"
"Alvary, Lorenzo"
"Senger, Emil"
"Earle, Ella A."
"Florio, Caryl"
