"Venue"
"Saginaw Auditorium"
"Prudden Auditorium"
"Shrine Auditorium"
"New York State Amphitheatre"
"Plaza Hotel"
"Camp Kilmer"
"U.S.S. Prairie State"
"Mitchel Field"
"Fort Monmouth"
"High School"
"Hunter College"
"NY City Center"
"Halloran Hospital"
"War Department Theatre"
"Whithorne Residence"
"Memorial Auditorium"
"Page Auditorium"
"Converse Auditorium"
"Alumni Memorial Auditorium"
"Sidney Lanier Auditorium"
"Jefferson County Armory"
"Kiel Opera House"
"Masonic Auditorium"
"Kleinhans Music Hall"
"Lincoln Auditorium"
"Stock Pavilion"
"Stanley Theater"
"City Hall Auditorium"
"Columbia Music Festival"
"American Legion Auditorium"
"Indiana University Auditorium"
"Sports Arena"
"Roxy Theatre"
"Rutgers University"
"Usher Hall"
"Glen Cove High School"
"R.P.I. Field House"
"Ebbets Field"
"Junior (North) High School"
"Roslyn High School"
"Prospect Heights High School"
"Richmond Hill High School"
"Junior High School (R.K. Toaz)"
"Julia Richman High School"
"Dewitt Clinton High School"
"Salve Regina College"
"High School Gymnasium"
"Keith-Albee Theatre"
"Clemson College"
"Township Auditorium"
"Armory Auditorium"
"Aycock Auditorium"
"Glass Center"
"Newport Casino"
"Westchester County Center"
"Senior (North) High School"
"Riverside Church"
"Purdue Hall of Music"
"George Huff Gymnasium"
"University of Arizona"
"Montgomery Stadium"
"Russ Auditorium"
"Granada Theater"
"Warners Fresno Theatre"
"War Memorial Performing Arts Center"
"McArthur Court Auditorium"
"Gill Coliseum"
"Public Auditorium"
"Smith Fieldhouse (George Albert)"
"Symphony Society Auditorium"
"Ak-Sar-Ben Coliseum"
"State Gymnasium"
"Northrop Memorial Auditorium"
"Wiener Konzerthaus (Grosser Saal)"
"Titania Palast"
"Theâtre des Champs-Élysées"
"Victoria Hall"
"Musiksaal des Kasinos"
"Casino"
"Teatro Morlacchi"
"Teatro Argentina"
"Teatro di San Carlo"
"Orpheus Hall"
"Festival Hall"
"United Nations General Assembly Hall"
"Metropolitan Museum of Art"
"Paramount Theatre"
"Community Theater"
"Loew's State Theater"
"Garden City High School"
"Brooklyn Center for the Performing Arts, Whitman Hall"
