"McArthur, Edwin"
"Steinberg, William"
"Mitropoulos, Dimitri"
"Kalman [Kálmán], Emmerich"
"Straus, Oscar"
"Alwin, Carl"
"Stolz, Robert"
"Montemezzi, Italo"
"Allers, Franz"
"Stewart, Reginald"
"Dixon, Dean"
"Koussevitzky, Serge"
"Haufrecht, Herbert"
"Corigliano, John, Sr."
"Maazel, Lorin"
"Josten, Werner"
"Antonini, Alfredo"
"Dorati, Antal"
"Zlatin, Mois"
";  Lawrence, Robert"
";  Not conducted"
"Szell, George"
"Horenstein, Jascha"
"Steiner, Max"
"Cooper, Emil"
"Bernstein, Leonard"
"Beckett, Wheeler"
"Tansman, Alexandre"
"LaGuardia, Fiorello"
"Herrmann, Bernard"
"Ganz, Rudolph;  Taylor, Deems"
"Vrooman, Aileen"
"Fittelberg, Gregor"
"Foss, Lukas"
"Strasfogel, Ignace"
"Johnson, Thor"
"Sevitzky, Fabien"
"Schenk, Robert C."
"Villa-Lobos, Heitor"
"Rodzinski, Artur;  Villa-Lobos, Heitor"
"Thomson, Virgil"
"Kreutz, Arthur"
"Windingstad, Ole"
"Goodman, Al"
"Romberg, Sigmund"
"Abravanel, Maurice"
"Hendl, Walter"
"Harris, Roy"
"Rodzinski, Artur;  Hendl, Walter"
"Fendler, Edvard"
"Bourdon, Rosario"
"Bonime, Josef"
"Broekman, David"
"Antek, Samuel"
"Autori, Franco"
"Parmet, Simon"
"Forstat, Milton"
"Bakaleinikoff, Vladimir"
"Landau, Siefrried"
"Cortez, Mario"
"Kullmer, Ann"
"D'Artega, (Alfonso)"
"Neuman, Herman"
"Nosco, Henri"
"Sternberg, Jonathan"
"Katims, Milton"
"Katims, Milton;  Steiner, George"
"Steiner, George"
"Brummer, Andre"
"Shefter, Bert"
"Rudnitsky, Antin"
"Plotnikoff, Eugene;  Rudnitsky, Antin"
"Baron, Sydney"
"Lavalle, Paul"
"Halasz, Laszlo [László]"
"Rosenthal, Manuel"
"Munch, Charles"
"Schwieger, Hans"
"Korn, Richard"
"Zeller, Robert"
"Walter, Bruno;  Hendl, Walter"
"Leide, Enrico"
"Lawrence, Robert"
"Buketoff, Igor"
"Reiner, Fritz;  Rachlin, Ezra"
"Rachlin, Ezra"
"Kostrukoff, Nicholas"
"Isola, Salvatore dell'"
"De Sabata, Victor"
"Carvalho, Eleazar De"
"Cork, Frank"
"Balazs, Frederic"
"Goberman, Max"
"Levine, Maurice"
"MacMillan, Ernest"
"Rudolf, Max"
"Engel, Lehman"
"Cantelli, Guido"
"Guadagno, Anton Rocco"
"Heath, Fenno"
"Paul, Charles"
"Morrissey, Gibson"
"Dvonch, Frederick"
"Schiff, Charles"
"Schippers, Thomas"
"Pelletier, Wilfrid"
"Schuller, Arthur"
"Machado, Roger"
"Schuller, Arthur;  Machado, Roger"
"Rudel, Julius"
"Frohlich, Otto"
"Tzincoca, Rémus"
"Tzincoca, Rémus;  Thomson, Virgil"
"Kozmo, Tibor"
"Scherman, Thomas"
"Thomson, Virgil;  De Paur, Leonard"
"Rodgers, Richard"
"Boutnikoff, Ivan"
"Goldovsky, Boris"
"Luboshutz, Pierre"
"Walton, William"
"Mitropoulos, Dimitri;  Chavez [Chávez], Carlos"
"Sherman, Alec"
"Strickland, William"
"Rudel, Julius;  Not conducted"
"Mitchell, Howard"
"Fiorato, Hugo"
"Rosenstock, Milton"
"Wallenstein, Alfred"
"Solti, Georg"
"Mitropoulos, Dimitri;  Antonini, Alfredo"
"Markevitch, Igor"
"Fracht, Albert"
"Cluytens, André"
"Previtali, Fernando"
"Simila, Martti"
"Copland, Aaron"
"Kubelik, Rafael"
"Mitropoulos, Dimitri;  Kaye, Danny"
"Kaye, Danny"
"Ansermet, Ernest"
"Shaw, Robert"
"Celebre, John"
"Krips, Josef"
"Matlovsky, Samuel"
"Karajan, Herbert Von"
"Fiedler, Arthur"
"Bass, Warner"
"Tureck, Rosalyn"
"Morel, Jean"
"Bernstein, Leonard;  Foss, Lukas"
"Schermerhorn, Kenneth"
"Lipkin, Seymour"
"Schermerhorn, Kenneth;  Bauer-Mengelberg, Stefan"
"Bernstein, Leonard;  Bauer-Mengelberg, Stefan"
"Shanet, Howard"
"Bauer-Mengelberg, Stefan"
"Hindemith, Paul"
"Bernstein, Leonard;  Bauer-Mengelberg, Stefan;  Gamson, Arnold;  Lipkin, Seymour;  Shanet, Howard"
"Gamson, Arnold"
"Jenkins, Newell"
"De Cormier, Robert"
"Mehta, Zubin"
"Stanger, Russell"
"Barati, George"
"Millar, Gregory"
"Shapira, Elyakum"
"Rosbaud, Hans"
"Boehm, Karl"
"Skrowaczewski, Stanislaw"
"Henderson, Skitch"
"Krasnopolsky, Yuri"
"Bernstein, Leonard;  Millar, Gregory"
"Varga, Laszlo"
"Ozawa, Seiji"
"Solomon, Izler"
"Peress, Maurice"
"Torkanowsky, Werner"
"Canarina, John"
"Ozawa, Seiji;  Peress, Maurice"
"Craft, Robert"
"Almeida, Antonio de"
"Rozsnyai, Zoltan"
"Fournier, Serge"
"Calderon, Pedro"
"Abbado, Claudio"
"Kosler, Zdenek"
"Previn, André"
"Irving, Robert"
"Boskovsky, Willi"
"Rosenstock, Joseph"
"La Marchina, Robert"
"Marino, Amerigo"
"Bernstein, Leonard;  Cage, John;  Tenney, James"
"Bernstein, Leonard;  Brown, Earle"
"Schuller, Gunther"
"Foss, Lukas;  Abbado, Claudio;  Kosler, Zdenek"
"Sargent, Malcolm"
"Cliburn, Van"
"Kirchner, Leon"
"Cleve, George"
"Dufallo, Richard (John)"
"Ellington, Duke"
"De Waart, Edo"
"Houtmann, Jacques"
"Caduff, Sylvia"
"Lombard, Alain"
"Gillessen, Walter"
"Izquierdo, Juan Pablo"
"DePreist, James"
"De Waart, Edo;  ;  ;  De Waart, Edo"
"Diamond, David"
"Kondrashin, Kiril"
"Dufallo, Richard (John);  Foss, Lukas"
"Caduff, Sylvia;  Izquierdo, Juan Pablo"
"Capolongo, Paul"
"Garcia-Asensio, Enrique"
"Quach, Helen"
"Springer, Alois"
"Fuleihan, Anis"
"Ancerl, Karel"
"Ehrling, Sixten"
"Bernstein, Leonard;  Quach, Helen"
"Huybrechts, Francois"
"Delogu, Gaetano"
"Mechkat, Farhad"
"Brott, Boris"
"Berio, Luciano"
"Davis, Colin"
"Giulini, Carlo Maria"
"Seibel, Klauspeter"
"Endo, Akira"
"Segal, Uri"
"Zearott, Michael"
"Bonavera, Alfredo"
"Mehmedov, Mesru"
"Bernstein, Leonard;  Stokowski, Leopold"
"Boulez, Pierre"
"Semkow, Georg (Jerzy)"
"Mechkat, Farhad;  Huybrechts, Francois"
"Leppard, Raymond"
"Kertesz (Kertész), István"
"Fruhbeck de Burgos, Rafael"
"Gilbert, David"
"Bender, Philippe"
"Benzecry, Mario"
"Ustinov, Peter"
"Ceccato, Aldo"
"Barenboim, Daniel"
"Stockhausen, Karlheinz"
"Menuhin, Yehudi"
"Thomas, Michael Tilson"
"Gielen, Michael"
"Maderna, Bruno"
"Brown, Earle;  Maderna, Bruno"
"Delacote, Jacques"
"Levine, James"
"Thompson, Leon"
"Piantini, Carlos"
"Chambers, James"
"Martinon, Jean"
"Lewis, Henry"
