"","conductorName"
"229528","Guadagno, Anton Rocco"
"229866","Heath, Fenno"
"230164","Paul, Charles"
"230236","Morrissey, Gibson"
"230803","Dvonch, Frederick"
"231374","Schiff, Charles"
"232423","Schippers, Thomas"
"235164","Pelletier, Wilfrid"
"237163","Schuller, Arthur"
"237207","Machado, Roger"
"237779","Schuller, Arthur;  Machado, Roger"
"238058","Rudel, Julius"
"238194","Frohlich, Otto"
"239067","Tzincoca, Rémus"
"239093","Tzincoca, Rémus;  Thomson, Virgil"
"241528","Kozmo, Tibor"
"243752","Scherman, Thomas"
"244414","Thomson, Virgil;  De Paur, Leonard"
"246090","Rodgers, Richard"
"250346","Boutnikoff, Ivan"
"251151","Goldovsky, Boris"
"251163","Luboshutz, Pierre"
"252451","Walton, William"
"253103","Mitropoulos, Dimitri;  Chavez [Chávez], Carlos"
"253536","Sherman, Alec"
"254288","Strickland, William"
"254322","Rudel, Julius;  Not conducted"
"254763","Mitchell, Howard"
"255278","Fiorato, Hugo"
"255874","Rosenstock, Milton"
"257752","Wallenstein, Alfred"
"258735","Solti, Georg"
"258975","Mitropoulos, Dimitri;  Antonini, Alfredo"
"259164","Markevitch, Igor"
"259480","Fracht, Albert"
"267780","Cluytens, André"
"268012","Previtali, Fernando"
"268060","Simila, Martti"
"268337","Copland, Aaron"
"268398","Kubelik, Rafael"
"268609","Mitropoulos, Dimitri;  Kaye, Danny"
"268611","Kaye, Danny"
"268671","Ansermet, Ernest"
"268730","Shaw, Robert"
"269625","Celebre, John"
"270520","Krips, Josef"
"273954","Matlovsky, Samuel"
"276175","Karajan, Herbert Von"
"276345","Fiedler, Arthur"
"276645","Bass, Warner"
"277347","Tureck, Rosalyn"
"277951","Morel, Jean"
"278514","Bernstein, Leonard;  Foss, Lukas"
"279160","Schermerhorn, Kenneth"
"282549","Lipkin, Seymour"
"284366","Schermerhorn, Kenneth;  Bauer-Mengelberg, Stefan"
"284374","Bernstein, Leonard;  Bauer-Mengelberg, Stefan"
"284543","Shanet, Howard"
"285500","Bauer-Mengelberg, Stefan"
"285596","Hindemith, Paul"
"285829","Bernstein, Leonard;  Bauer-Mengelberg, Stefan;  Gamson, Arnold;  Lipkin, Seymour;  Shanet, Howard"
"286724","Gamson, Arnold"
"287944","Jenkins, Newell"
"290594","De Cormier, Robert"
"291682","Mehta, Zubin"
"292993","Stanger, Russell"
"293018","Barati, George"
"293210","Millar, Gregory"
"293211","Shapira, Elyakum"
"293590","Rosbaud, Hans"
"293632","Boehm, Karl"
"294896","Skrowaczewski, Stanislaw"
"294908","Henderson, Skitch"
"295205","Krasnopolsky, Yuri"
"295316","Bernstein, Leonard;  Millar, Gregory"
"295432","Varga, Laszlo"
"296159","Ozawa, Seiji"
"296330","Solomon, Izler"
"300016","Peress, Maurice"
"301363","Torkanowsky, Werner"
"302134","Canarina, John"
"303348","Ozawa, Seiji;  Peress, Maurice"
"307272","Craft, Robert"
"308228","Almeida, Antonio de"
"310131","Rozsnyai, Zoltan"
"310145","Fournier, Serge"
"311010","Calderon, Pedro"
"311011","Abbado, Claudio"
"311013","Kosler, Zdenek"
"313468","Previn, André"
"313707","Irving, Robert"
"314234","Boskovsky, Willi"
"316952","Rosenstock, Joseph"
"318668","La Marchina, Robert"
"318676","Marino, Amerigo"
"318939","Bernstein, Leonard;  Cage, John;  Tenney, James"
"318945","Bernstein, Leonard;  Brown, Earle"
"319002","Schuller, Gunther"
"319457","Foss, Lukas;  Abbado, Claudio;  Kosler, Zdenek"
"321892","Sargent, Malcolm"
"322818","Cliburn, Van"
"324929","Kirchner, Leon"
"325528","Cleve, George"
"334545","Dufallo, Richard (John)"
"334781","Ellington, Duke"
"335503","De Waart, Edo"
"335515","Houtmann, Jacques"
"335885","Caduff, Sylvia"
"335886","Lombard, Alain"
"335888","Gillessen, Walter"
"335889","Izquierdo, Juan Pablo"
"335938","DePreist, James"
"336129","De Waart, Edo;  ;  ;  De Waart, Edo"
"337327","Diamond, David"
"341961","Kondrashin, Kiril"
"342097","Dufallo, Richard (John);  Foss, Lukas"
"343098","Caduff, Sylvia;  Izquierdo, Juan Pablo"
"343256","Capolongo, Paul"
"343257","Garcia-Asensio, Enrique"
"343260","Quach, Helen"
"343261","Springer, Alois"
"343346","Fuleihan, Anis"
"346261","Ancerl, Karel"
"346314","Ehrling, Sixten"
"347913","Bernstein, Leonard;  Quach, Helen"
"347925","Huybrechts, Francois"
"347926","Delogu, Gaetano"
"347928","Mechkat, Farhad"
"347929","Brott, Boris"
"353668","Berio, Luciano"
"354018","Davis, Colin"
"354128","Giulini, Carlo Maria"
"354400","Seibel, Klauspeter"
"354401","Endo, Akira"
"354402","Segal, Uri"
"354405","Zearott, Michael"
"354406","Bonavera, Alfredo"
"354408","Mehmedov, Mesru"
"354441","Bernstein, Leonard;  Stokowski, Leopold"
"354697","Boulez, Pierre"
"354798","Semkow, Georg (Jerzy)"
"354874","Mechkat, Farhad;  Huybrechts, Francois"
"358203","Leppard, Raymond"
"358321","Kertesz (Kertész), István"
"358354","Fruhbeck de Burgos, Rafael"
"358678","Gilbert, David"
"358680","Bender, Philippe"
"358682","Benzecry, Mario"
"360034","Ustinov, Peter"
"362303","Ceccato, Aldo"
"362449","Barenboim, Daniel"
"362747","Stockhausen, Karlheinz"
"362841","Menuhin, Yehudi"
"365106","Thomas, Michael Tilson"
"365485","Gielen, Michael"
"366324","Maderna, Bruno"
"366449","Brown, Earle;  Maderna, Bruno"
"366479","Delacote, Jacques"
"367202","Levine, James"
"367214","Thompson, Leon"
"367486","Piantini, Carlos"
"367527","Chambers, James"
"368129","Martinon, Jean"
"368149","Lewis, Henry"
"368165","Leinsdorf, Erich"
"372763","Zinman, David"
"372987","Ahronovitch, Yuri"
"373129","Slatkin, Leonard"
"373453","Davis, Andrew"
"373799","Klee, Bernhard"
"376817","Newland, Larry"
"376834","Conlon, James"
"377191","Comissiona, Sergiu"
"377294","Haitink, Bernard"
"380506","Boulez, Pierre;  Gilbert, David"
"380644","Caldwell, Sarah"
"380668","Foster, Lawrence"
"380699","Norris, Lee"
"380975","Macal, Zdenek"
"380991","Akiyama, Kazuyoshi"
"381007","Lee, Everett"
"383877","Tennstedt, Klaus"
"384035","Marriner, Neville"
"384173","Boulez, Pierre;  Gilbert, David;  Chambers, James;  Newland, Larry"
"385411","Somogi, Judith"
"385671","Davies, Dennis Russell"
"385745","Zukerman, Pinchas"
"385928","Freeman, Paul"
"387026","Simmons, Calvin"
"387356","Borge, Victor"
"387452","Jochum, Eugen"
"387982","Schneider, Alexander"
"388216","Weiskopf, Robert"
"389320","Gould, Harry E., Jr."
"390138","Rostropovich, Mstislav"
"390154","Jackson, Isaiah"
"390586","Rozhdestvensky, Gennady"
"391386","Kostelanetz, Andre;  Wendy, Diane"
"391435","Wendy, Diane"
"391485","Goldstein, Marvin"
"391853","Mackerras, Charles"
"391913","Bonynge, Richard"
"393238","Eschenbach, Christoph"
"393254","Jarvi (Järvi), Neeme"
"393268","Weller, Walter"
"394272","Kojian, Varujan"
"396040","Nelson, John"
"398502","Dohnanyi, Christoph von"
"398631","Masur, Kurt"
"399698","Dutoit, Charles"
"400550","Lanchbery, John"
"401172","Shostakovich, Maxim"
"401187","Sinopoli, Giuseppe"
"401268","Lopez-Cobos, Jesus"
"401664","Lutoslawski, Witold"
"403133","Weisberg, Arthur"
"403179","Druckman, Jacob"
"403386","Keene, Christopher"
"404184","Sanderling, Kurt"
"404842","Stulberg, Neal"
"404856","Bychkov, Semyon"
"405078","Neumann, Vaclav"
"405263","Herbig, Gunther"
"405287","Shallon, David"
"405441","Henze, Hans Werner"
"405443","Penderecki, Krzysztof"
"405655","Sollberger, Harvey"
"405669","Wuorinen, Charles"
"405769","Drummond, Dean"
"405937","Amy, Gilbert"
"407279","Chung, Myung Whun"
"408561","Belohlavek, Jiri"
"408751","Fletcher, Richard"
"408771","Kruglikov, Felix"
"411447","Gemignani, Paul"
"412298","Chailly, Riccardo"
"412778","Temirkanov, Yuri"
"414867","Turnovsky, Martin"
"414967","Hogwood, Christopher"
"415788","Stern, Isaac"
"416120","Pesko (Peskó), Zoltán"
"416168","Knussen, Oliver"
"416922","Stern, Michael"
"416923","Morgan, Michael"
"416924","Barrett, Michael"
"418060","Salonen, Esa-Pekka"
"419078","Schickele, Peter"
"419741","Hangen, Bruce"
"419742","Harvey, Raymond"
"419744","Hegyi, Julius"
"419745","Leonard, Peter"
"420651","Nagano, Kent"
"425367","Domingo, Placido"
"425389","Mehta, Zubin;  Domingo, Placido"
"425531","Wolff, Hugh"
"426318","Levi, Yoel"
"426418","Flummerfelt, Joseph"
"427161","Tung, Ling"
"427668","Rilling, Helmuth"
"428973","Fuchs, Kenneth"
"429679","Perick, Christof"
"430215","Smith, Lawrence Leighton"
"430229","Wong, Samuel"
"430232","Alsop, Marin"
"430240","Gergiev, Valery"
"432566","Welser-Möst, Franz"
"432675","DeRusha, Stanley"
"432763","Berglund, Paavo"
"435361","Flor, Claus Peter"
"437022","Masur, Kurt;  Wong, Samuel"
"438334","Westerfield, Richard"
"438735","Ling, Jahja"
"439420","Magiera, Leone"
"440464","St. Clair, Carl"
"440581","Ben-Dor, Gisele"
"442953","Blomstedt, Herbert"
"443078","Jansons, Mariss"
"443422","Masur, Kurt;  Westerfield, Richard"
"443610","Dunner, Leslie B."
"446776","McFerrin, Bobby"
"447281","Mauceri, John"
"447316","Thielemann, Christian"
"454726","Harth-Bedoya, Miguel"
"455386","Leon, Tania"
"455719","Gatti, Daniele"
"457810","Oue, Eiji"
"459621","Turnbull, Walter J."
"469173","Adams, John"
"469274","Slatkin, Leonard;  Thakar, Markand"
"469422","Thakar, Markand"
"471032","Hagegard [Hagegård], Håkon"
"471316","Lockhart, Keith"
"471551","Saraste, Jukka-Pekka"
"475636","Milarsky, Jeffrey"
"475714","Minczuk, Roberto"
"480486","Ades [Adès], Thomas"
"482531","Young, Simone"
"490000","Muti, Riccardo"
"490561","Fischer, Ivan [Iván]"
"490593","Jarvi (Järvi), Paavo"
"492291","Kreizberg, Yakov"
"492988","Deak, Jon"
"493682","Hanson, George"
"494120","Litton, Andrew"
"497061","Miller, David Alan"
"497208","Luisi, Fabio"
"500978","Wigglesworth, Mark"
"502213","Vonk, Hans"
"502216","Smith, André Raphel"
"502231","Gier, Delta David"
"502657","Viotti, Marcello"
"502687","Tovey, Bramwell"
"502765","Volkov, Ilan"
"502929","Biller, Georg Christopher"
"504186","Henderson, Luther"
"505617","Abbado, Roberto"
"506396","Robertson, David"
"507031","Eddins, William"
"507685","Gilbert, Alan"
"510025","Gardiner, John Eliot"
"510408","Metzmacher, Ingo"
"510516","Daniel, Paul"
"511716","Fisch, Asher"
"512085","Gamba, Rumon"
"512500","Oramo, Sakari"
"512534","Richman, Lucas"
"519035","Sheng, Bright"
"520535","Spano, Robert"
"524874","Vanska [Vänskä], Osmo"
"525057","Neale, Alasdair"
"525075","Noseda, Gianandrea"
"525357","McGegan, Nicholas"
"525381","Kahane, Jeffrey"
"526895","Zhang, Xian"
"526917","Williams, John"
"527063","Pappano, Antonio"
"527268","Perlman, Itzhak"
"528074","Gilbert, Alan;  Minczuk, Roberto"
"529266","Serebrier, Jose"
"535595","Russell, John Morris"
"538569","Pereira, Joseph"
"540370","Graf, Hans"
"542104","Sperling, Ted"
"542203","Prieto, Carlos Miguel"
"542721","Franck, Mikko"
"542745","Willis, Alastair"
"544829","Zacharias, Christian"
"544845","Hickox, Richard"
"544889","Sobol, Mordechai"
"545285","Nott, Jonathan"
"545734","Outwater, Edwin"
"545747","Morlot, Ludovic"
"545784","Brunelle, Philip"
"551796","Regan, Jay"
"551797","Tovey, Bramwell;  Regan, Jay"
"553287","Sobol, Mordechai;  Lazar, Matthew"
"558836","Adelson, Michael"
"558850","Labadie, Bernard"
"558990","Bicket, Harry"
"631521","Mickelthwate, Alexander"
"632012","Fisher, Rob"
"632261","Gaffigan, James"
"640867","Aron, Adam"
"643265","Musiker, Lee"
"644982","Dudamel, Gustavo"
"645043","Jordan, Philippe"
"647022","Boreyko, Andrey"
"664244","Barnard School for Boys Glee Club"
"665322","Zhang, Yusong"
"665366","Smith, Philip"
"666444","Christie, Michael"
"667564","Hamlisch, Marvin"
"668830","Holtan, Timothy J."
"669088","Tang, Argie"
"670568","Kaplan, Gilbert"
"674824","Koopman, Ton"
"683846","Boico, Daniel"
"683853","Muti, Riccardo;  Boico, Daniel"
"686969","Maazel, Lorin;  Bringuier, Lionel"
"687767","Gramshammer, Sheika"
"694031","Lindberg, Magnus"
"699927","Yu, Long"
"699983","Boreyko, Andrey;  Yu, Long"
"700374","Kosloff, Alan"
"701002","Mutter, Anne-Sophie"
"701006","Francis, Michael"
"702015","Keene, Jim"
"723689","Nelsons, Andris"
"723926","Gilbert, Alan;  Domingo, Placido"
"724210","Harding, Daniel"
"729200","Dix, Brian"
"731409","Tansill, Dhuanne"
"731438","Newman, David"
"732742","Weilerstein, Joshua"
"732874","Brock, Timothy"
"733137","Riesman, Michael"
"733178","Scaglione, Case"
"735436","Schreier, Peter"
"735730","Gilbert, Alan;  Patalano, Louis"
"737963","van Zweden, Jaap"
"738868","Gilbert, Alan;  Tritle, Kent;  Weilerstein, Joshua"
"738892","Gilbert, Alan;  Lindberg, Magnus;  Pintscher, Matthias"
"738904","Gilbert, Alan;  Lindberg, Magnus;  Pintscher, Matthias;  Weilerstein, Joshua"
"741197","May, Peter"
"743528","Pintscher, Matthias"
"744215","Valcuha, Juraj"
"747978","Wedow, Gary Thor"
"748038","Ogren, Jayce"
"748575","Honeck, Manfred"
"749515","Suzuki, Masaaki"
"750911","Schiff, András"
"751160","Gilbert, Alan;  Scaglione, Case"
"752544","Bringuier, Lionel"
"752717","Megan, Kenneth W."
"753859","Schafer, Oscar"
"754738","Herman, Karen"
"755049","Kitsopoulos, Constantine"
"761954","Manze, Andrew"
"765172","Mendoza, Vince"
"769733","Djawadi, Ramin"
"769852","Heras-Casado, Pablo"
"770988","Jurowski, Vladimir"
"772168","Goren, Neal"
"772394","Wachner, Julian"
"773792","Panicker, Vasudevan"
"773800","Undercofler, Jenny"
"773808","Noreen, Sandra"
"774249","Manahan, George"
"777399","Browning, Doe"
"777405","Tovey, Bramwell;  Browning, Doe"
"779135","Lewis, Courtney"
"779626","Urbanski, Krzysztof"
"779869","Mena, Juanjo"
"783364","Deneve [Denève], Stephane [Stéphane]"
"784423",";  Gilbert, Alan"
"786061","Gersen, Joshua"
"786125","Daugherty, George"
"786220","Malkki [Mälkki], Susanna"
"786737","Wilson, Mikayla"
"786755","Gilbert, Alan;  Wilson, Mikayla"
"786784","Freer, Justin"
"786835","Wilkins, Thomas"
"787864","Ridder, Andre [André] de"
"788005","Macelaru, Cristian"
"791902","Glover, Jane"
"797064","Einhorn, Andy"
"797578","Storgards, John"
"798335","Douma, Jeffrey"
"798848","Karchin, Louis"
"798951","Huang, Frank"
"799320","Fulmer, David"
"800171","Rountree, Christopher"
"800637","Weiss, Timothy"
"800670","Sainte-Agathe, Valérie"
"800679",";  Sainte-Agathe, Valérie"
"800697","Menaker, Dianne Berkun"
"800724","Jacobsen, Eric"
"801160","Baker, Deirdre"
"801163","Gilbert, Alan;  Baker, Deirdre"
"801486","Kavakos, Leonidas"
"802179","Westlake, Nigel"
"803527","Miller, Joseph"
"805491","Hrusa, Jakub"
"805533","Baker, James"
