1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,3
10,9
11,10
12,11
13,12
14,13
15,3
16,14
17,15
18,10
19,11
20,12
21,5
22,2
23,9
24,8
25,4
26,8
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,16
35,3
36,10
37,4
38,15
39,17
40,17
41,15
42,3
43,18
30,8
44,19
45,15
46,4
47,14
48,20
49,4
50,15
51,3
52,15
53,15
54,4
55,11
56,21
57,12
58,3
59,22
60,3
61,8
62,7
63,9
64,23
65,15
66,4
67,4
68,4
69,4
70,3
67,3
71,15
72,4
73,24
74,10
75,3
76,14
77,15
78,3
79,15
80,9
81,15
82,15
83,6
84,15
85,4
86,15
87,15
88,3
89,16
90,4
91,2
92,15
93,12
94,3
95,3
96,2
97,10
98,4
99,17
100,15
101,3
102,25
103,15
104,15
105,3
106,15
99,21
107,15
108,4
109,4
110,24
111,2
112,4
113,3
114,15
115,3
116,3
117,15
118,2
119,6
120,8
121,3
122,24
123,3
124,15
125,4
126,2
127,5
128,6
129,17
130,20
131,25
132,4
133,2
134,3
135,2
136,8
137,3
138,2
139,2
140,24
141,2
142,18
143,2
144,25
145,15
146,15
147,8
148,19
149,26
150,2
151,2
152,2
9,27
57,17
153,24
154,3
155,2
156,28
157,3
158,8
159,8
160,2
161,2
162,8
163,19
164,2
165,2
166,8
167,4
168,2
48,25
169,4
170,3
171,2
172,21
173,2
174,3
173,15
175,10
176,3
177,4
178,24
179,3
180,3
181,2
182,29
183,8
184,19
185,15
186,29
187,4
130,25
188,15
189,3
190,3
191,30
48,31
192,32
193,3
194,9
195,11
196,2
64,33
197,4
198,8
199,24
200,2
201,2
202,3
203,34
175,35
204,10
205,10
206,11
207,6
208,6
209,6
202,2
210,4
211,15
212,3
213,2
214,4
215,15
216,3
217,29
218,4
219,19
220,4
221,4
222,26
222,29
19,3
223,15
224,32
225,15
226,3
227,4
228,15
229,15
230,15
231,3
232,3
233,8
234,4
235,2
236,8
237,25
238,3
239,4
240,3
241,24
242,25
242,20
229,2
243,2
244,18
245,8
246,8
247,24
248,19
249,3
250,2
251,8
252,4
253,2
254,4
255,4
256,15
256,24
257,3
258,2
259,19
260,3
217,15
261,15
262,3
263,4
264,5
265,6
266,7
267,9
268,12
269,2
270,36
271,4
272,29
242,23
273,2
274,8
223,2
275,3
276,4
277,2
278,8
277,18
279,3
280,2
281,2
199,19
282,3
283,6
284,3
285,15
286,15
287,15
288,3
289,2
290,29
291,29
292,8
285,2
293,15
294,24
295,5
281,15
296,15
297,8
298,24
64,20
299,2
300,8
294,19
254,13
301,4
104,3
302,25
303,25
304,3
305,4
306,2
307,8
308,15
309,4
310,15
311,37
312,29
313,15
314,15
315,15
316,15
317,33
318,33
319,6
258,15
320,2
321,8
322,19
323,2
324,4
325,29
326,15
327,4
328,2
329,2
330,25
331,3
332,2
333,26
334,8
335,19
336,2
337,16
336,15
338,6
339,3
340,8
341,9
342,16
343,8
344,3
345,19
345,15
346,2
347,15
348,2
347,24
349,15
350,15
351,3
352,2
353,4
354,15
355,2
356,8
357,15
358,4
359,2
360,19
361,15
362,15
363,3
364,2
365,15
366,15
343,15
367,15
368,32
369,15
370,15
371,15
372,2
373,26
374,15
374,2
375,24
376,6
377,15
378,8
379,19
380,6
381,3
382,15
383,9
350,13
384,3
385,15
386,15
387,15
388,3
389,29
390,8
391,19
392,4
393,2
394,8
300,2
395,3
396,15
396,29
397,4
398,15
399,2
400,8
399,15
401,15
402,15
403,15
404,3
405,15
406,15
407,3
408,4
312,15
409,2
410,29
411,24
412,2
413,3
414,25
415,8
416,3
417,2
329,29
418,8
419,15
419,29
420,15
421,3
422,15
422,13
423,15
423,2
424,8
425,8
426,19
427,19
428,2
429,2
430,29
431,4
432,2
433,3
434,3
435,4
429,15
436,15
437,3
438,7
64,25
308,29
439,3
440,4
441,3
442,6
443,6
444,8
445,38
446,19
447,19
448,2
449,2
450,2
451,29
452,19
453,13
454,2
455,29
456,4
457,8
458,5
459,29
460,8
461,19
462,29
463,6
464,19
465,3
466,2
467,15
468,4
469,4
470,3
471,8
472,19
473,15
474,27
475,3
476,3
477,3
478,2
479,15
480,4
481,6
482,15
483,15
484,2
485,4
486,4
484,26
487,8
488,4
489,4
490,27
491,3
492,3
493,2
494,19
495,25
496,25
497,3
494,24
498,18
499,2
500,29
501,8
502,3
503,24
504,2
505,2
506,3
507,2
508,3
509,4
510,4
511,27
512,2
513,3
514,4
515,4
516,28
517,2
518,8
