"","workTitle"
"1542","LUCIA DI LAMMERMOOR, ""SOFFRIVA NEL PIANTO""  (FOR SAXHORN QUARTET) (ARR. Unspecified)"
"1575","TERZETTO A CANONE, VANNE A COLEI"
"1608","SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60"
"1614","SOLO FOR FLUTE WITH ORCHESTRA"
"1616","CONCERTO, VIOLIN, E MINOR, OP.64"
"1626","CAPRICCIO BRILLANTE IN B MINOR, OP.22"
"1638","CALM SEA AND PROSPEROUS VOYAGE"
"1650","HUGUENOTS, LES"
"1720","CONCERTANTE FOR FOUR VIOLINS"
"1739","CONCERTINO, OP.29"
"1742","CONCERTINO FOR HORN AND ORCHESTRA"
"1748","SYMPHONY NO. 9, C MAJOR, D.944 (GREAT)"
"1752","LES DEUX JOURNEES"
"1754","CONCERTO, VIOLIN, NO. 2, D MAJOR, OP.14"
"1758","VESTALE, LA"
"1761","GRAND CONCERTO, PIANO"
"1763","SYMPHONY IN B FLAT MAJOR (UNSPECIFIED)"
"1786","FANTASIE AND VARIATIONS FOR FLUTE"
"1798","DUO CONCERTANTE, TWO VIOLINS"
"1804","ROMANCE: GO! THOU RESTLESS WIND!"
"1810","ROBESPIERRE, OP. 55"
"1816","SYMPHONY NO. 4, A MAJOR, OP. 90 (ITALIAN)"
"1822","JOSEPH"
"1825","CONCERTO, VIOLIN, NO. 6, OP. 70"
"1834","FAUST"
"1881","QUINTET NO. 2"
"1950","GRAND RONDEAU: LE GAGE D'AMITIE"
"1956","THINE IS MY HEART"
"1962","WINTERREISE, D.911"
"1988","CONCERTO, PIANO, NO. 2, D MINOR , OP.40"
"2009","THE HAPPY BIRDLING"
"2016","CARNIVAL OF VENICE"
"2023","PRECIOSA: GRAND DUO ON BOHEMIAN MARCH (ARR. Moscheles)"
"2030","FESTIVAL OVERTURE AND MARCHE TRIOMPHALE, OP. 172"
"2047","WASSERFAHRT"
"2057","MAYBELLS AND THE FLOWERS, OP. 63, NO. 6"
"2087","ECHOES FROM OSSIAN, OP. 1"
"2097","POLISH MOTHER'S CRADLE SONG, THE"
"2107","VARIATIONS ON A THEME FROM MEHUL'S JOSEPH"
"2117","LINDA DI CHAMOUNIX"
"2146","SPIELMANN'S LIED (MINSTREL'S LOVE SONG)"
"2149","STREGHE, LE (DANSE DES SORCIERES), OP. 8"
"2152","REMEMBER ME"
"2155","CHARMES DU VOYAGE, LES, B FLAT MAJOR, OP. 26"
"2173","CONCERTO, VIOLIN, NO. 3, OP. 44"
"2178","JÄGERLIED  (QUARTET)"
"2188","SERENADE"
"2193","IN THE HIGHLANDS, D MAJOR, OP. 7"
"2198","SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING)"
"2222","LEONORE OVERTURE NO. 2, OP. 72A"
"2234","POLICHINELL, CAPRICE BURLESQUE"
"2240","JEANNE D'ARC A ROUEN"
"2252","SYMPHONY NO. 9, D MAJOR, OP. 143 (THE SEASONS)"
"2257","GRAND FANTASIA ON OPERA THEMES"
"2277","FANTASIE-CAPRICE, A MAJOR, OP.11"
"2282","WANDERER, THE"
"2287","LUCIA DI LAMMERMOOR: FANTASIA ON THEMES FROM (HARP + ORCH.) (ARR. Aptommas)"
"2297","SYMPHONY NO. 2, C MAJOR, OP. 61"
"2300","ELLENSGESANG I-III, D.837-839 (ARR. Unspecified)"
"2303","ADAGIO AND RONDO, BASSON, F MAJOR"
"2312","MESSIAH"
"2318","SYMPHONY NO. 4, B FLAT MAJOR, OP. 20"
"2323","ZAR UND ZIMMERMANN"
"2328","CONCERTO, VIOLIN, NO. 14, OP. 110 (CONCERTINO NO. 3)"
"2358","SYMPHONY NO. 1 IN C MAJOR, OP.21"
"2363","SYMPHONY NO. 20, B MAJOR"
"2375","DUO CONCERTANTE ON THE AIR, ARABY'S DAUGHTER"
"2393","DUO CONCERTANTE ON A THEME OF HALEVY"
"2399","MOINE, LE"
"2421","HOME, SWEET HOME ( SOLO HARP) (ARR. Aptommas)"
"2436","NORMA"
"2441","CONCERTINO FOR CLARINET"
"2446","ABRAHAM'S SACRIFICE: OVERTURE"
"2455","LA FAVORITA"
"2459","FANTASIA ON THEMES FROM LUCREZIA BORGIA"
"2467","PRECIOSA, OP. 78"
"2471","BARBIERE DI SIVIGLIA, IL (THE BARBER OF SEVILLE)"
"2475","CONCERTINO"
"2479","MARITANA"
"2488","GUTTENBERG"
"2493","COSÌ FAN TUTTE, K.588"
"2498","CONCERTO, PIANO, NO. 5, E FLAT MAJOR, OP.73"
"2508","RUY BLAS, OP.95: OVERTURE"
"2513","WINGED MESSENGER"
"2523","OLYMPIA"
"2568","TANNHAUSER, WWV 70"
"2584","LORELEI, OP.98"
"2613","CHANSON D'AMOUR, SOLO FOR TRUMPET À PISTONS"
"2620","ERLKONIG [ERLKÖNIG], D.328"
"2667","CONCERTO, TWO VIOLINS, C MAJOR"
"2679","IPHIGENIE IN AULIS"
"2685","LOCKUNG, DIE"
"2691","STANDCHEN, D.889"
"2697","SYLPHIDE, LA"
"2713","NORMANNI A PARIGI, I"
"2717","CONCERTINO, HORN AND ORCHESTRA, OP.45"
"2729","CONCERTO, HARP, C MAJOR"
"2733","TROVATORE, IL"
"2741","SYMPHONY NO. 2, D MINOR, OP.24 (JULLIEN)"
"2760","CONCERTO, VIOLIN, NO. 1, E MAJOR, OP. 10"
"2765","ATTILA"
"2785","GRAND DUO FOR TWO VIOLINS"
"2795","HANS HEILING, OP. 80"
"2812","INTRODUCTION AND VARIATIONS, LOB DER TRÄNEN, OP. 15"
"2824","MEDEA"
"2830","ETUDES"
"2836","RONDO IN E FLAT MAJOR"
