"","workTitle"
"66865","TOMBEAU DE COUPERIN, LE"
"66887","SYMPHONY NO. 5, E FLAT MAJOR, OP. 82"
"66910","OCEAN, THE, OP. 99"
"66942","SUITE PRIMEVAL"
"66952","FANTAISIE ESPAGNOLE"
"66953","CONCERTO, VIOLIN, A MAJOR, OP. 8"
"67047","SONGS, FIVE (FUNF LIEDER), OP. 41, SOPRANO AND PIANO"
"67058","FREUNDLICHE VISION, OP. 48, NO. 1"
"67069","SONGS, SIX (SECHS LIEDER), OP. 17, SOPRANO AND PIANO"
"67102","ORFEO"
"67106","MUSIC WHILE THE KING DINES"
"67110","SERENADE NO.  6, D MAJOR, K.239, ""SERENATA NOTTURNA"""
"67114","TO THE DEAD"
"67122","ON THE SHORES OF THE SEAS"
"67168","OVERTURE, IN OLD VIRGINIA"
"67440","FETE GALANTE"
"67468","PLANETS, THE, OP. 32"
"67475","INDIAN SKETCHES"
"67477","POLONAISE NO. 2 IN E MAJOR (ARR. Muller-Berghaus)"
"67695","CHILDREN'S CORNER SUITE (ORCH ARR.) (ARR. Caplet)"
"67850","NOEL"
"67881","ATALANTA"
"67912","PARODIES (NURSERY RHYMES)"
"68098","SLUMBER DEAR JESUS"
"68129","CAROL: UNSPECIFIED SELECTIONS"
"68176","POT POURRI"
"68177","BOUTIQUE FANTASQUE, LA (BALLET SUITE) (ARR. Respighi / Carr)"
"68191","CONCERTO, VIOLIN, B MINOR, OP.61"
"68194","SYMPHONY NO. 3, C MINOR, OP. 43, ""LE POÈME DIVIN"""
"68210","LIEBESTRAUME (ORCH ARR.) (ARR. Herbert)"
"68211","ROMANCE IN C MAJOR, OP. 42"
"68240","IN THE COURT OF THE POMEGRANATES, OP. 26(B)"
"68275","CON., CLAVIERS (TWO), NO. 1, C MINOR, BWV 1066"
"68283","CONCERTO PATHETIQUE  (ARR. Pattison)"
"68300","POEME SYMPHONIQUE, OP. 37"
"68303","COQ D'OR, LE: SUITE (ARR. Steinberg)"
"68304","CONCERTO, PIANO, NO. 3, OP. 26, C MAJOR"
"68340","GAVOTTE (UNSPECIFIED) (SOLO PIANO)"
"68347","GAVOTTE (UNSPECIFIED) (SOLO PIANO) (ARR. Brahms)"
"68354","PERPETUAL MOTION, OP. 24 (SOLO PIANO)"
"68361","ON WINGS OF SONG, FROM SECHS GESANGE, OP. 34 (ARR. Liszt)"
"68368","PUCK"
"68382","SONATA IN E-FLAT, SICILIENNE (ORCH.) (ARR. Gevaert)"
"68389","BOURGEOIS GENTILHOMME, LE"
"68409","LOCHINVAR"
"68411","CONCERTO GROSSO, D MINOR, RV 129, ""MADRIGALESCO"" (ARR. Siloti)"
"68412","FOUR CONCEITS"
"68449","VALSE, LA"
"68458","BEYOND THE FIELDS WE KNOW"
"68468","MISSA ""TU ES PETRUS"""
"68504","VERE LANGUORES"
"68540","FAC UT ARDEAT"
"68558","O LORD, I CRY TO THEE"
"68576","CHERUBIC HYMN"
"68594","CAROL: I SAW THREE SHIPS"
"68684","SALVE REGINA"
"68720","IRISH FOLK SONG"
"68738","THE STAR"
"68756","SONGS MY MOTHER TAUGHT ME"
"68795","WANDERERFANTASIE, D.760 (PIANO/ORCH) (ARR. Liszt)"
"68806","KIKIMORA, OP. 63"
"68813","MER, LA [THE SEA]"
"68821","FANTASIA AND FUGUE IN C MINOR, BWV 906 (ARR. Elgar)"
"68853","SYMPHONY NO.  3 IN D MINOR"
"68887","BRANDENBURG CONCERTO NO. 5 (ARR. Siloti)"
"68891","RHAPSODY, NO. 12 (PIANO + ORCH)"
"68903","CASTOR AND POLLUX: BALLET SUITE (ARR. Gevaert)"
"68918","FANTASIA ON A THEME BY THOMAS TALLIS"
"68953","SYMPHONY NO. 4, OP. 48"
"68961","AGNUS DEI"
"68974","IMPRESSIONS FROM AN ARTIST'S LIFE"
"69063","STABAT MATER (CHOR + ORCH)"
"69071","TE DEUM"
"69079","FEDRA"
"69087","SAN FRANCESCO D'ASSISI"
"69095","GOTHIC CHACONNE"
"69097","DE VOGELS (THE BIRDS)"
"69099","SUITE FOR VIOLONCELLO AND ORCHESTRA"
"69135","MORCEAUX DE FANTASIE (SOLO PIANO)"
"69181","SYMPHONY NO. 1 (A SEA SYMPHONY)"
"69192","HOW SWEET THE MOONLIGHT SLEEPS"
"69203","SILVERSMITH, THE (ARR. Schindler)"
"69214","BALLAD OF THE KREMLIN, THE (ARR. Schindler)"
"69225","WRECK OF THE JULIE PLANTE, THE"
"69252","QUARTET, STRINGS, NO. 12, OP. 96"
"69262","SUITE, STRING QUARTET AND STRING ORCHESTRA"
"69272","SUITE FOR STRING ORCHESTRA, OP. 29"
"69339","STADIUM, THE (MARCH)"
"69353","BARCAROLLE (ARR. Hadley)"
"69363","MAY IN TUSCANY, OP. 21 (ARR. Unspecified)"
"69364","THREE DUETS, OP. 6 (ARR. Unspecified)"
"69375","ETCHINGS"
"69383","PIQUE DAME (QUEEN OF SPADES)"
"69391","ELI ELI (ARR. Jacchia)"
"69404","AURORA"
"69405","PRELUDE IN C SHARP MINOR"
"69406","SYMPHONIC SKETCHES"
"69437","NORTHERN RHAPSODY"
"69447","PIERROT"
"69448","PIRETTE"
"69460","EGYPTIAN SKETCHES"
"69484","POLONAISE NO. 2 (ORCH) (ARR. Unspecified)"
"69485","SIREN SONG, THE OP. 2"
"69486","LIEBESTRAUME (ORCH) (ARR. Unspecified)"
"69490","SUITE NO. 1, A MINOR, OP. 42"
"69498","PARSIFAL, KLINGSOR'S MAGIC GARDEN AND THE FLOWER MAIDENS (ARR. Steinbach)"
"69501","MARCH OF THE BOJARES"
"69506","AUTUMN TWILIGHT"
"69507","WOOD PIXIES"
"69508","NIGHT IN OLD GRANADA, A"
"69512","BALLET EGYPTIEN"
"69513","CLAIR DE LUNE"
"69514","MARCH OF THE JANIZARIES"
"69518","OVERTURE ON NEGRO THEMES"
"69519","LOST CHORD, THE (TRUMPET SOLO)"
"69529","SILHOUETTES, OP. 77"
"69543","CLEOPATRA'S NIGHT"
"69557","PRELUDE (UNSPECIFIED)"
"69559","INDIAN DANCES, TWO"
"69564","SCENES DE BALLET, OP. 52"
"69637","IN STRAUSS'S TIME (WALTZ)"
"69732","ELLENSGESANG III, D. 839 (VOICE AND ORCHESTRA) (ARR. Unspecified)"
"69740","FANTASY AND VARIATIONS FOR CELLO AND ORCH., OP. 17 (ARR. Servais)"
"69754","CONCERTO, HORN, NO. 1, E FLAT MAJOR, OP. 11"
"69771","SURSUM CORDA, OP. 13"
"69930","CSONGOR ÉS TÜNDE, OP. 10"
"69940","TE DEUM LAUDAMUS, OP. 28"
"69977","GOLGOTHA"
"70012","PISANELLA, LA: SUITE"
"70017","SYMPHONY NO. 3 (PASTORAL)"
"70041","CONCERTO, ORCHESTRA, IN D MAJOR (ARR. Steinberg)"
"70072","SYMPHONY NO. 1, C MINOR, OP. 11"
"70114","CHORALE, ""SCHMUCKE DICH, O LIEBE SEELE"", BWV 654 (ARR. Schoenberg)"
"70116","CHORALE, ""KOMM, GOTT SCHÖPFER, HEILIGER GEIST"" (ORCH.), BWV 631 (ARR. Schoenberg)"
"70156","CRADLE SONG"
"70164","SWEDISH RHAPSODY OP. 19, NO. 1"
"70176","DAME LIBELLULE (LADY DRAGON-FLY)"
"70297","VIENNESE DANCES (UNSPECIFIED)"
"70302","MORNING, NOON, AND NIGHT IN VIENNA"
"70305","VIENNESE GIRLS"
"70342","CHRISTMAS MARCH OF THE KINGS (CHORAL) (ARR. Schindler)"
"70360","ALLONS, GAY BERGERES"
"70378","CAROL: ENTRE LE BOEUF ET L'ANE GRIS (ARR. Gevaert)"
"70396","CAROL: NOEL WALLON (ARR. Radoux)"
"70414","CAROL: AT MIDNIGHT"
"70450","HAPPY BETHLEHEM"
"70468","THREE KINGS, THE, CAROL (CHORUS)"
"70486","AY-DUDU"
"70504","JACKDAW PLAYS THE TRUMPET"
"70522","JOHNNY THE GOAT"
"70558","GRANNY RINGS THE BELLS"
"70576","MIDSOMMARVAKA (SWEDISH RHAPSODY NO. 2)"
"70647","ES MUSS EIN WUNDERBARES SEIN  (ARR. Nikish)"
"70656","O KOMM EIN TRAUM  (ARR. Nikish)"
"70665","FOUR BIBLICAL SONGS (ARR. Wagenaar)"
"71040","PILGRIM TERCENTENARY PAGEANT: SUITE"
"71074","SYMPHONY NO. 2, E MAJOR"
"71112","TRISTAN UND ISOLDE, WWV 90 (ARR. Seidl)"
"71116","EXSULTATE JUBILATE, K.158A (OLD K.165)"
"71118","ANNIVERSARY OVERTURE"
"71143","GREETING TO HANS SACHS (ORCH ARR.) (ARR. Unspecified)"
"71157","NEGRO RHAPSODY, A"
"71224","NUN OF NIDAROS, THE"
"71258","PETRUSHKA (1911 VERSION)"
"71300","RAPSODIA ESPANOLA (ARR. Casella)"
"71334","DON GIOVANNI: OVERTURE K.527 (ARR. Unspecified)"
"71338","TOTENTANZ (ARR. Siloti)"
"71346","PRELUDE, ORGAN, E MINOR (PIANO) (ARR. Siloti)"
"71350","PRELUDE, FROM CANTATA NO. 29 (PIANO) (ARR. Siloti)"
"71354","CHORAL PRELUDE, ORGAN, E MINOR (PIANO) (ARR. Szanto [Szántó])"
"71383","AS YOU LIKE IT, OP. 7"
"71384","PIET HEIN, DUTCH RHAPSODY"
"71492","WALTZ, OP. 34, NO. 1 (ORCH) (ARR. Unspecified)"
"71526","SUITE, FRENCH, NO. 5, BWV 816 (ORCH.) (ARR. Unspecified)"
"71543","SONATA, VIOLIN, NO. 6, GAVOTTE (ORCH.) (ARR. Unspecified)"
"71639","CHAMBER SYMPHONY"
"71664","ECLOGUE"
"71669","SYMPHONY NO. 28, C MAJOR, K.189K (OLD K.200)"
"71670","IL BEATO REGNO"
"71692","FANTASTIC MUSIC OF THE NIGHT"
"71814","SYMPHONY NO.  7 IN E MINOR (SONG OF THE NIGHT)"
"71870","THROUGH THE LOOKING GLASS, OP. 12"
"71887","SYMPHONY OF THE SUMMITS, OP. 19"
"71947","UNE NUIT DE MAY (VOICE + PIANO)"
"71969","MAJO DISCRETO, EL"
"71980","CHANT HINDOU"
"72023","SORTILEGI (SORCERY), OP.39"
"72043","CON., CLAVIERS (THREE), NO. 2, C MAJOR, BWV 1064"
"72077","STEVENSONIANA: SUITE NO. 2"
"72079","VAGUE ET LA CLOCHE, LA"
"72088","VICTORY BALL, A"
"72091","POUR UNE FETE DE PRINTEMPS, OP. 22"
"72183","TWO WALTZES, STRING ORCHESTRA, OP.54"
"72193","ELEGY FOR ORCHESTRA"
"72311","MYSTIC TRUMPETER, THE"
"72312","FRUHLINGSSTIMMEN (VOICES OF SPRING), OP.410"
"72321","AMERICAN POLONAISE"
"72326","INVITATION TO THE DANCE"
"72327","MEPHISTO WALTZ (UNSPECIFIED)"
"72365","TWO INTERLUDES FOR ORCHESTRA"
"72376","GOBI"
"72384","RUSSIAN SKETCHES"
"72393","OU VOULEZ-VOUS ALLER? (BARCAROLLE)"
"72407","ETIENNE MARCEL"
"72417","VILLANELLE FOR OBOE"
"72423","SUITE ARAUCANA"
"72441","LEAD KINDLY, LIGHT"
"72443","SONATA, PIANO, OP. 35: FUNERAL MARCH (UNSPECIFIED VERSION)"
"72445","AVE MARIA - BRASS (ARR. Richard)"
"72451","IMMORTALS, THE"
"72480","DEUX MELODIES HERABIQUES"
"72481","HEBREW LULLABY"
"72482","FIRST HEBREW SONG CYCLE, OP. 3"
"72483","REVE DU PRISONNIER, LE"
"72544","SONG OF THE NIGHTINGALE"
"72610","CYDALISE: SUITE NO. 1"
"72669","SERENADE, FLUTE, VIOLIN, VIOLA, OP.25, D MAJOR"
"72891","ROMANCE ORIENTALE, OP.2, NO. 1"
"72922","TWO POEMS"
"73093","SINFONIA CONCERTANTE, WINDS, E-FLAT MAJOR, K.297B [ANH.9]"
"73121","CHANSON TRISTE (ORCH)"
"73123","MANOIR DE ROSEMONDE, LE"
"73167","HARMONIOUS BLACKSMITH, THE  (HARPSICHORD SOLO)"
"73173","GROUND"
"73179","SONATA FOR CROSSED KEYBOARDS"
"73199","GOTTERDAMMERUNG: SIEGFRIED'S RHINE JOURNEY [GÖTTERDÄMMERUNG] (ARR. Humperdinck)"
"73223","EIN TANZSPIEL"
"73262","TWO DANCES (ARR. Ravel)"
"73314","ROMANCE FOR VIOLIN AND ORCHESTRA"
"73324","THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS), SUITE NO. 2"
"73326","SYMPHONY IN B MINOR"
"73340","YOUTH, FANTASIE-OVERTURE"
"73518","CHRISTMAS DAY"
"73559","CAROL: GOOD CHRISTIAN MEN REJOICE"
"73641","CAROL: COME YE LOFTY"
"73682","CAROL: THE FIRST NOEL"
"73846","SILENT NIGHT (ARR. Haydn)"
"73928","CAROL: TYROLEAN FOLK"
"73969","TOURO-LOURO-LOURO"
"74095","PAN"
"74138","RONDINO FOR WIND INSTRUMENTS"
"74199","CONCERTO, VIOLIN, D MAJOR, G.486"
"74201","VIGILS, THE"
"74205","CALL OF THE PLAINS, THE"
"74221","BLUE FLOWER, THE"
"74281","CANON: ABBE STADLER"
"74289","CANON: I BEG THEE HUMBLY WRITE DOWN THE SCALE IN E FLAT"
"74363","FLIEGENDE HOLLANDER, DER, WWV 63: SPINNING SONG, THE (ARR. Liszt)"
"74370","FLIEGENDE HOLLANDER, DER, WWV 63: SPINNING SONG (VIOLIN)"
"74664","CONCERTO, CELLO, NO. 9, B FLAT MAJOR, G.482"
"74707","GRANDMOTHER'S DREAM (ARR. Buldrini)"
"74712","COLUMBIA, THE GEM OF THE OCEAN (ALT: THE RED, WHITE AND BLUE)"
"74788","SHAH FERIDOUN"
"74809","CANON: HELPFUL BE, O MAN, NOBLE AND GOOD (FOR SIX VOICES+CHOR) (ARR. Damrosch)"
"74822","SONATA, PIANO, NO. 32, C MINOR , OP. 111"
"74893","NORTH AND WEST"
"74905","PRELUDE"
"75034","COUPERIN DANCE SUITE"
"75115","CONCERTO, VIOLIN, E MAJOR, OP. 23"
"75124","CON., HARPSICHORD, NO. 7, G MINOR, BWV 1058"
"75167","BERCEUSE (ORCH., NOT SPECIFIED)"
"75184","SERENADE CHAMPETRE (ORCH.)"
"75269","NOVELETTE (UNSPECIFIED) (ARR. Unspecified)"
"75303","AU CLAIR DE LUNE"
"75337","IVERIYA, SUITE NO. 2"
"75371","CHILDREN'S OVERTURE"
"75375","MAZURKA, HARP"
"75379","CANZONETTA (GRANDMOTHER'S STORIES)"
"75383","MOMENS MUSICALS, D.780 (ORCH) (ARR. Stock)"
"75391","CONCERTO, BASSOON, F MAJOR, OP. 75"
"75436","CONCERT-FANTASY ON RUSSIAN THEMES"
"75468","EUPHORION"
"75480","LITTLE SUITE FOR ORCHESTRA, OP. 27"
"75516","CONCERTO, FLUTE NO. 2, D MAJOR, K.285D (OLD K.314)"
"75523","SYMPHONIC ELEGY FOR ORCHESTRA, OP. 9"
"75548","CONCERTO, HORN NO. 2, E-FLAT MAJOR, K.417"
"75556","REVEILLE"
"75564","STABLES"
"75572","TO A WILD ROSE (ARR. Herbert)"
"75580","SILHOUETTES, OP.77 (ARR. Roberts)"
"75684","MARCHE AMERICAINE"
"75719","SUITE ANTIQUE"
"75729","CONCERTO (FUGAL), FLUTE, OBOE"
"75734","PERFECT FOOL, THE"
"75773","CONCERTO, TIMPANI AND PERCUSSION"
"75832","CANTATA NO.  57"
"75970","HUNGARIA (SYMPHONIC POEM NO. 9)"
"75991","DANCE FANTASY, OP. 35A"
"76013","THIEF OF BAGHDAD, THE, INCIDENTAL MUSIC"
"76031","COPPELIA: SUITE FROM THE BALLET (ORCH.)"
"76038","BALLATA DELLE GNOMIDI"
"76044","SERENADE FOR SMALL ORCHESTRA, F MINOR, OP. 3"
"76046","PEER GYNT SUITE, UNSPECIFIED (EXCERPT)"
"76065","QUEEN OF SHEBA, THE"
"76079","BALL SCENE (STRINGS ONLY)"
"76085","CHILDREN'S SONGS"
"76088","VESPRI SICILIANI, I"
"76107","SIEGFRIED, WWV 86C: SIEGFRIED PASSING THROUGH THE FIRE TO BRUNNHILDE'S ROCK, AND FINALE OF ACT III (ARR. Reiner)"
"76128","TUOLUMNE"
"76133","SPIRIT OF AUTUMN WALTZ"
"76137","STENKA RAZINE, OP. 13"
"76167","LES FILLES DE CADIZ"
"76197","LAND OF HOPE AND GLORY"
"76207","ON THE ROAD TO MANDALAY"
"76237","CARNAVAL"
"76271","FRUHLINGSGLAUBE, D. 686 [SOLO PIANO, S. 558/7] (ARR. Liszt)"
"76309","SINFONIA DRAMMATICA"
"76385","ANTOINE ET CLÉOPÂTRE, CONCERT VERSION, OP. 69 (ARR. Schmitt)"
"76395","HUNGARIAN DANCES (SOLO PIANO)"
"76413","L'ISLE JOYEUSE (ARR. Molinari)"
"76414","PACIFIC 231 (MOUVEMENT SYMPHONIQUE NO. 1)"
"76428","PAIN"
"76432","CLASSICIST, THE"
"76478","CYDALISE"
"76577","LAMENT OF RACHEL"
"76584","WELL TEMPERED CLAVIER, THE: TWO FIVE VOICED FUGUES WITH PRELUDES (4/22) (ARR. Hill)"
"76630","PEEP-SHOW, THE (ORCH.) (ARR. Wood)"
"76631","PICTURES AT AN EXHIBITION (ARR. Leonardi)"
"76692","PLEASURE DOME OF KUBLA KHAN, THE, OP. 8"
"76719","TALE OF TSAR SALTAN, THE, OP. 57: SUITE (REV. W/ FLT OF BUMBLE-BEE)"
"76730","CON., HARPSICHORDS, (TWO), NO. 1, C MINOR, BWV 1060"
"76732","FROM THE GARDEN OF HELLAS"
"76738","PASTORALE D'ÉTÉ"
"76752","SUITE FOR CELLO, STYLE ANCIENNE"
"76754","NORTHERN LIGHTS WALTZ"
"76820","TANTUM ERGO"
"76846","CREDO"
"76859","LORD, HAVE MERCY"
"76885","SERBIAN KOLO (ARR. Kibalchich)"
"76898","BOHEMIAN DANCE SONG (ARR. Kibalchich)"
"77030","ALBORADA DEL GRACIOSO"
"77057","CONCERTO, HARP, OP.4, NO. 6, B FLAT MAJOR (HARPSICHORD)"
"77062","SYMPHONIC SUITE ON THREE PLAYS OF GOLDONI"
"77067","PRELUDE (UNSPECIFIED) (SOLO HARPSICHORD)"
"77072","BOURRÉE"
"77077","WOLSEYS WILDE (HARPSICHORD SOLO)"
"77082","CON., HARPSICHORD, NO. 3, D MAJOR,  BWV 1054"
"77144","SCHERZO FANTASTIQUE, OP. 3"
"77147","PULCINELLA: SUITE"
"77158","CON., HARPSICHORD, NO. 5, F MINOR, BWV 1056"
"77159","TWO SHORT POEMS FOR ORCHESTRA"
"77184","CONCERTO, ORGAN AND STRINGS, D MINOR"
"77187","POUR LES FUNERAILLES D'UN SOLDAT"
"77193","SYMPHONY, ORGAN, ORCHESTRA"
"77239","CONCERTO GROSSO, OP. 6, NO. 10, D MINOR (ARR. Kogel)"
"77292","SACRE DU PRINTEMPS, LE"
"77387","OCTET"
"77421","PRINTEMPS (VOICE AND PIANO)"
"77438","LA ROSEE SAINTE (CHANSON DU COUVENT)"
"77455","PASTORALE"
"77472","FOUR RUSSIAN SONGS"
"77506","TILIMBOM"
"77540","RAGTIME FOR 11 INSTRUMENTS"
"77557","RENARD"
"77600","CONCERTO FOR PIANO AND WIND INSTRUMENTS"
"77630","SUITE FOR FLUTE"
"77636","PICCOLO"
"77648","AULD LANG SYNE"
"77748","CAPRICCIO FOR FLUTE, OP. 32"
"77753","ITALIA, OP. 11"
"77781","LUISA DI MONTFORT: ARIA FOR CLARINET"
"77788","CLARINET, E-FLAT"
"77795","CLARINET, BASS"
"77802","MOTET [UNSPECIFIED]"
"77809","COME, HONEST FRIENDS"
"77823","CONTRA BASSOON"
"77830","SEXTET"
"78042","INTERLUDE"
"78087","WORK (UNSPECIFIED) (ARR. Hoffmann)"
"78177","WORK (UNSPECIFIED) (ARR. Stringfield)"
"78202","CANTATA NO. 174"
"78203","TOCCATA, ORGAN, C MAJOR, BWV 564: ADAGIO  (ARR. Siloti)"
"78204","CONCERTO, PIANO NO. 22, E-FLAT MAJOR, K.482"
"78214","BIRTHDAY OF THE INFANTA, THE"
"78232","PARROT, THE"
"78236","ROMANCE, HN OR VC, OP. 36"
"78240","FREISCHUTZ, DER: HUNTING CHORUS (ARR. HORN QUARTET) (ARR. Unspecified)"
"78316","LUCIO SILLA: OVERTURE (SIN. B-FLAT, OP. 18, NO. 2) (ARR. Stein)"
"78356","FANTASTIC APPARITIONS ON A THEME BY BERLIOZ"
"78408","CHORALE FOR BRASS (UNSPECIFIED) (ARR. Abert)"
"78552","DIVERTIMENTO NO. 15, B-FLAT MAJOR, K.271B (OLD K.287)"
"78570","CONCERTO, VIOLIN, E MINOR, OP. 18"
"78592","SPIRITUAL: GO DOWN, MOSES"
"78596","SPIRITUAL: BYE AND BYE"
"78639","SYMPHONY NO.  86, D MAJOR"
"78658","DRYAD, THE"
"78858","TO A WILD ROSE"
"78870","SONATA, PIANO, NO.  8, C MINOR, OP. 13 (PATHETIQUE) (ORCH.) (ARR. Unspecified)"
"78948","MORCEAUX, SIX, OP. 128 (ORCH.) (ARR. Unspecified)"
"79026","ARABESQUES, DEUX (ORCH.) (ARR. Unspecified)"
"79260","SCHERZO WALTZ (ORCH.) (ARR. Unspecified)"
"79338","AUFSCHWUNG (SOARING) (ORCH.) (ARR. Unspecified)"
"79416","WALTZ, E MINOR, OP. 33, NO. 15 (ARR. Unspecified)"
"79494","WALTZ, A-FLAT MAJOR, OP. 39, NO. 15"
"79806","JAPANESE SPEAR DANCE"
"79884","EAST INDIAN SUITES"
"79962","DANCE OF THE APSARASES"
"80040","NAUTCH DANCE"
"80118","SERENADE D'AMOUR"
"80196","DANSE AMERICAINE"
"80274","DANZAS ESPAÑOLAS, LAS"
"80352","TANGO"
"80430","ALLEGRIAS"
"80586","BOSTON FANCY - 1854, THE"
"80664","INVOCATION TO THE THUNDERBIRD"
"81054","POLKA (UNSPECIFIED)"
"83569","BALLET SUITE NO. 1 (ARR. Mottl)"
"83683","HUMORESQUE NO. 7, OP. 101 (ORCH.) (ARR. Unspecified)"
"83711","SAINT LOUIS SYMPHONY MARCH"
"83742","WESENDONCK LIEDER, WWV 91 (ORIGINAL VOICE AND PIANO VERSIONS)"
"83767","HAVANOLA"
"83779","UNSPECIFIED WALTZ"
"83785","FROM THE NORTHLAND"
"83798","EL AMOR BRUJO (REV. 1924)"
"83803","THE SECRET OF SUZANNE"
"83804","CONCERTO, QUINTET OF WINDS"
"83815","WESENDONCK LIEDER, WWV 91 (VIOLIN SOLO) (ARR. Unspecified)"
"83863","CHANTS D'ESPAGNE"
"83897","CONCERTO, VIOLIN, NO. 1, F SHARP MINOR, OP.14"
"83900","LONDONDERRY AIR, THE (IRISH) (ARR. Kreisler)"
"83921","MILITARMARSCHE, OP. 57"
"83942","DEEP RIVER (ARR. Burleigh)"
"83949","HEAV'N, HEAV'N (ARR. Burleigh)"
"83956","SONG OF THE HEART (ARR. Johnson)"
"83985","TWO ORCHESTRAL PICTURES"
"84055","GIARA, LA: SUITE"
"84057","PARTITA"
"84091","MEMORIES OF MY CHILDHOOD"
"84100","AFTER YEARS"
"84109","MY LITTLE ROOM"
"84118","AFTER THE BATTLE"
"84197","SUITE ANGLAISE NO. 1"
"84206","SUITE ANGLAISE NO. 2"
"84335","CANTATA NO.  56"
"84366","FANTASY"
"84666","JURGEN"
"84670","DANSE DE LA SORCIERE"
"84691","CAHAL MOR OF THE WINE-RED HAND"
"84818","THROUGH THE AIR"
"84825","FIVE PIECES FOR ORCHESTRA, OP. 16 (1909)"
"84832","SONATA FOR TWO CLARINETS"
"84846","SONATA, CLARINET AND BASSOON"
"84853","CONCERTO, VIOLIN, NO. 1, OP. 19, D MAJOR"
"84867","NUSCH-NUSCHI DANCES"
"84882","VISIONS, OP.12"
"84894","CONCERTO, PIANO, F MAJOR"
"84933","HUNGARIAN MARCH"
"84954","PRAELUDIUM AND ALLEGRO (SOLO VIOLIN)"
"84970","NOCTURNE (VIOLIN + PIANO) (ARR. Kochanski)"
"84986","GOPAK (VOICE AND PIANO) (ARR. Rachmaninoff)"
"85002","MEISTERSINGER, DIE, WWV 96: PREISLIED (VIOLIN + PNO) (ARR. Unspecified)"
"85018","WALTZ, A MAJOR (VIOLIN + PIANO) (ARR. Unspecified)"
"85034","JOTA (VIOLIN + PIANO)"
"85050","SONATA, OP. 47, A MAJOR (KREUTZER) (VIOLIN + ORCH) (ARR. Damrosch)"
"85082","SYMPHONY NO. 2, C MINOR"
"85203","OLD DUTCH DANCES, OP. 46"
"85208","STARLIGHT, OP. 60"
"85210","DESTRUCTION OF SENNACHERIB"
"85452","CONCERTO, PIANO (MIXOLYDIAN MODE)"
"85514","SYMPHONIC POEM (LUX ETERNA)"
"85522","PINES OF ROME (PINI DI ROMA)"
"85573","SONGS, FIVE (FUNF LIEDER), OP. 41, SOPRANO AND ORCHESTRA"
"85577","TARANTELLA NEAPOLITANA (LA DANZA)"
"85581","TINTAGEL"
"85629","KAMMERMUSIK NO. 2, OP. 36, NO. 1"
"85633","NIGHTS IN THE GARDENS OF SPAIN"
"85635","TWO SKETCHES (FOR STR. ORCH.)"
"85637","DUBINUSHKA, OP. 62"
"85639","CONCERTO GROSSO, D MINOR, RV 565 (ARR. Franko)"
"85642","GETHSEMANE"
"85711","PAESAGGI TOSCANI (TUSCAN LANDSCAPES)"
"85762","HARP"
"85774","TAMBOURIN"
"85904","NOTTURNO, OP.70, NO. 1"
"85905","NOVELLETTA, OP.82"
"85914","SI MOSTRA LA SORTE, K.209"
"85928","SPIRITUAL: SIT DOWN"
"85935","SPIRITUAL: I GOT A ROBE (HEA'M)"
"86081","SUITE FOR CELLO AND ORCHESTRA"
"86284","CLARINET"
"86294","BASSOON"
"86304","MARCHING THROUGH GEORGIA"
"86309","HORN (FRENCH HORN)"
"86372","CONCERTO GROSSO NO. 2"
"86389","ANCIENT AIRS AND DANCES (SUITE NO. 2)"
"86786","PANTOMIMIC INTRODUCTION"
"86932","INTERMEZZO, OP. 72"
"86957","BELFAGOR, OVERTURE"
"87078","ORPHEUS WITH HIS LUTE (ARR. Barratt)"
"87152","CONCERTO, PIANO NO. 26, D MAJOR, K.537 ""CORONATION"""
"87154","CONCERTO, PIANO/HARPSICHORD, H.XVIII:11, D MAJOR"
"87246","SAGA, A (EN SAGA), OP. 9"
"87282","ANDANTE FROM AN UNFINISHED SYMPHONY"
"87299","MOUNTAIN VISTAS (WALTZ)"
"87314","RHAPSODY ITALIA"
"87367","ENCHANTED LAKE, THE, OP. 62"
"87392","PRELUDE IN C-SHARP MINOR (ARR. Wood)"
"87411","SLEEPING BEAUTY, OP. 66"
"87425","SEMIRAMIS"
"87476","CARME LILIRILI"
"87489","DON JUAN SOUNDTRACK, 1926 (ARR. Mendoza)"
"87498","EMPEROR JONES, THE"
"87515","EGYPT (OPERA)"
"87548","CONCERTO GROSSO, OP. 6, NO. 5, D MAJOR"
"87569","TRISTAN UND ISOLDE, WWV 90 (ARR. Stock)"
"88202","SYMPHONY NO. 3, E FLAT MAJOR, OP. 97 (RHENISH) (ARR. Stock)"
"88206","TRAGIC OVERTURE, 1914"
"88209","MASQUERADE"
"88211","VALSE DE CONCERT NO. 2 IN F MAJOR, OP. 51"
"88218","INDIAN SUMMER WALTZ"
"88222","SYMPHONY NO. 2, G MINOR, AFTER WALT WHITMAN"
"88225","CHORALE AND FUGUE (UNSPECIFIED) (ARR. Abert)"
"88299","INTERNATIONAL"
"88309","VACHT UF"
"88319","OVENT GLOCK"
"88329","KIRCHEN GLOCKEN"
"88339","NOCTURNE IN E-FLAT (UNSPECIFIED)"
"88379","TWO BROTHERS"
"88392","PAN AND THE PRIEST, OP. 26"
"88464","ISRAEL SYMPHONY"
"88470","UNE VIE D'ARTISTE"
"88486","RENCONTRES: THREE BALLET PIECES"
